movie_id,imdb_id,tmdb_id,rating,average_rating,title
2005,0089218,9340,5.0,3.62673,The Goonies (1985)
2006,0120746,9342,2.0,3.27404,The Mask of Zorro (1998)
2012,0099088,196,3.0,3.3127,Back to the Future Part III (1990)
2013,0069113,551,4.0,3.30834,The Poseidon Adventure (1972)
2014,0076054,16084,1.5,3.06654,Freaky Friday (1976)
2021,0087182,841,3.0,3.30074,Dune (1984)
2023,0099674,242,4.0,3.44785,The Godfather: Part III (1990)
2028,0120815,857,5.0,4.05033,Saving Private Ryan (1998)
2053,0104437,11158,1.0,2.15532,Honey I Blew Up the Kid (1992)
2054,0097523,9354,1.0,2.7079,"Honey, I Shrunk the Kids (1989)"
2058,0120768,9631,3.0,3.58649,The Negotiator (1998)
2072,0096734,11974,1.0,3.11506,The 'Burbs (1989)
2094,0102803,10249,3.0,3.05095,The Rocketeer (1991)
2100,0088161,2619,3.0,3.19586,Splash (1984)
2111,0085894,11591,1.0,3.22552,The Man with Two Brains (1983)
2115,0087469,87,3.0,3.69157,Indiana Jones and the Temple of Doom (1984)
2134,0090305,11814,3.5,3.29007,Weird Science (1985)
2174,0094721,4011,3.0,3.47903,Beetlejuice (1988)
2194,0094226,117,4.5,3.87196,The Untouchables (1987)
2245,0096463,3525,2.0,3.35022,Working Girl (1988)
2268,0104257,881,4.0,3.81342,A Few Good Men (1992)
2278,0122690,8195,3.0,3.57533,Ronin (1998)
2291,0099487,162,1.0,3.72155,Edward Scissorhands (1990)
2353,0120660,9798,3.0,3.55668,Enemy of the State (1998)
2376,0090264,707,2.0,3.1826,A View to a Kill (1985)
2378,0087928,9336,2.5,2.96972,Police Academy (1984)
2379,0089822,10157,2.0,2.46758,Police Academy 2: Their First Assignment (1985)
2380,0091777,12118,2.0,2.26909,Police Academy 3: Back in Training (1986)
2396,0138097,1934,2.0,3.80273,Shakespeare in Love (1998)
2403,0083944,1368,1.0,3.56896,First Blood (1982)
2405,0089370,10303,3.0,3.14569,The Jewel of the Nile (1985)
2406,0088011,9326,3.0,3.46937,Romancing the Stone (1984)
2420,0087538,1885,2.0,3.32236,The Karate Kid (1984)
2424,0128853,9489,1.5,3.1876,You've Got Mail (1998)
2427,0120863,8741,2.0,3.42848,The Thin Red Line (1998)
2431,0129290,10312,1.5,3.17814,Patch Adams (1998)
2450,0091225,10658,3.0,2.13165,Howard the Duck (1986)
2455,0091064,9426,1.5,3.4135,The Fly (1986)
2468,0091306,10945,1.0,2.74018,Jumpin' Jack Flash (1986)
2474,0090863,11873,3.0,3.43455,The Color of Money (1986)
2476,0091187,10015,2.5,3.29187,Heartbreak Ridge (1986)
2502,0151804,1542,3.5,3.97599,Office Space (1999)
2541,0139134,796,3.0,3.29484,Cruel Intentions (1999)
2542,0120735,100,4.0,4.01813,"Lock, Stock and Two Smoking Barrels (1998)"
2571,0133093,603,2.5,4.14986,The Matrix (1999)
2605,0137494,1844,4.0,3.16659,Entrapment (1999)
2628,0120915,1893,2.5,3.08677,Star Wars: Episode I - The Phantom Menace (1999)
2640,0078346,1924,3.0,3.38026,Superman (1978)
2641,0081573,8536,2.0,3.0965,Superman II (1980)
2642,0086393,9531,2.5,2.48372,Superman III (1983)
2657,0073629,36685,3.0,3.34016,The Rocky Horror Picture Show (1975)
2671,0125439,509,3.0,3.45615,Notting Hill (1999)
2683,0145660,817,3.0,3.19137,Austin Powers: The Spy Who Shagged Me (1999)
